Initialization has begin.
Initialization has finished.It takes 6.187385s
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:soc.religion.christian
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:talk.religion.misc
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:talk.politics.mideast
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:talk.religion.misc
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:talk.politics.misc
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:soc.religion.christian
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:talk.religion.misc
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:talk.religion.misc
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:talk.religion.misc
true label:alt.atheism predict_label:talk.religion.misc
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
true label:alt.atheism predict_label:alt.atheism
